Raw Skill,Mapped Standard Code,Mapped Description,Match Score
reasoning,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3355
recognizing triggers,1.RL.3,"Describe characters, settings, and major events in a story",0.2533
recording,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2633
recording observations,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2259
reflection,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1853
reform,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1989
reframing,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2941
regional comparison,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1274
regrouping,K.CC.1,Count to 100 by ones and by tens,0.2936
regulation,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2184
relationship building,1.RL.3,"Describe characters, settings, and major events in a story",0.205
representation,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4375
research,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1886
resource identification,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1991
respect,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1149
response accuracy,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3524
responsibility,1.RL.3,"Describe characters, settings, and major events in a story",0.219
retelling,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.3463
review,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.1281
revision,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1882
rhyme recognition,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.5893
rhythm,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2776
rights,1.RL.3,"Describe characters, settings, and major events in a story",0.1154
role-play,1.RL.3,"Describe characters, settings, and major events in a story",0.2712
roles,1.RL.3,"Describe characters, settings, and major events in a story",0.2642
rotation,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1814
routine building,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2112
rules,1.RL.3,"Describe characters, settings, and major events in a story",0.1503
safety awareness,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1621
scaling,1.OA.3,Apply properties of operations as strategies to add and subtract,0.271
scanning,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2703
scarcity,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1688
science vocabulary,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3368
scientific method,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2188
scientific process,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1683
self-advocacy,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1153
self-assessment,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3276
self-awareness,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2017
self-care,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1536
self-control,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1383
self-discipline,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1301
self-esteem,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1443
self-monitoring,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1922
self-motivation,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1446
self-recognition,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3622
self-reflection,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2059
self-regulation,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1787
self-soothing,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.1587
self-talk,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2393
sensory awareness,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2344
sensory observation,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3503
sequence,K.CC.1,Count to 100 by ones and by tens,0.2401
sequencing,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2297
service,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.1775
shape attributes,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3988
shape naming,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3349
shape partitioning,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2194
shape recognition,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3608
shapes,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4361
shared goals,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1792
sharing data,K.RL.1,Ask and answer questions about key details in a text,0.1774
similes,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3303
simplification,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3969
skimming,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3
skip counting,K.CC.1,Count to 100 by ones and by tens,0.4549
social awareness,1.RL.3,"Describe characters, settings, and major events in a story",0.173
social change,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1444
social initiation,1.RL.3,"Describe characters, settings, and major events in a story",0.1791
social norms,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.1886
society,K.CC.1,Count to 100 by ones and by tens,0.1618
solution generation,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.3069
sorting,K.CC.1,Count to 100 by ones and by tens,0.3382
space patterns,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3224
space science,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2063
spatial awareness,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3009
spatial reasoning,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3577
speaking,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2434
speaking & listening,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.4384
speed,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1905
states of matter,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1964
statistics,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2623
story elements,1.RL.3,"Describe characters, settings, and major events in a story",0.5588
story engagement,1.RL.3,"Describe characters, settings, and major events in a story",0.4943
story parts,1.RL.3,"Describe characters, settings, and major events in a story",0.506
story understanding,1.RL.3,"Describe characters, settings, and major events in a story",0.6157
storytelling,1.RL.3,"Describe characters, settings, and major events in a story",0.4809
strategic thinking,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2333
strategies,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3847
strategy use,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3653
stress response,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1029
structure,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2779
structure analysis,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2328
style,1.RL.3,"Describe characters, settings, and major events in a story",0.2298
subtraction,1.OA.3,Apply properties of operations as strategies to add and subtract,0.6024
summarization,1.RL.3,"Describe characters, settings, and major events in a story",0.3708
summarizing,1.RL.3,"Describe characters, settings, and major events in a story",0.4004
summary,1.RL.3,"Describe characters, settings, and major events in a story",0.4101
supply chain,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1771
supporting evidence,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2718
sustainability,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.0882
symbol decoding,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3161
symbolism,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.426
symmetry,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2414
synthesis,1.OA.3,Apply properties of operations as strategies to add and subtract,0.235
system thinking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3183
systems,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3751
teamwork,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.222
technique,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2409
tectonics,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1482
temperature,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1059
testing,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2417
text analysis,K.RL.1,Ask and answer questions about key details in a text,0.3716
text comparison,K.RL.1,Ask and answer questions about key details in a text,0.387
text features,K.RL.1,Ask and answer questions about key details in a text,0.4501
text recognition,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.381
text-based writing,K.RL.1,Ask and answer questions about key details in a text,0.368
text-to-self,K.RL.1,Ask and answer questions about key details in a text,0.3395
textual evidence,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.326
theme,1.RL.3,"Describe characters, settings, and major events in a story",0.1932
theme recognition,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.382
thinking beyond the text,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3672
time awareness,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2492
time management,1.RL.3,"Describe characters, settings, and major events in a story",0.1962
time reading,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.5146
timelines,1.RL.3,"Describe characters, settings, and major events in a story",0.4212
tone,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3405
tool use,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2412
tools,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2988
tracking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.309
trade,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1554
trait analysis,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2895
trait identification,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2169
transition words,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3102
transitions,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2426
transportation,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1944
trial-and-error,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2951
turn-taking,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2069
understanding,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3747
unit conversion,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.3027
unit selection,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2411
using senses,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3565
validation,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2188
value,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.3011
values,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.3401
verbal problem solving,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.4781
verbal recall,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.4112
visual comparison,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3615
visual tools,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4177
visualization,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4056
vocabulary,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3574
voice,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3563
weather tracking,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.1909
weather vocabulary,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3233
westward movement,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.1627
word problems,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.6404
writing process,1.RL.3,"Describe characters, settings, and major events in a story",0.2365
x/y relationships,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1904
